timestamp,time,fps,hmd_x,hmd_y,hmd_z,hmd_qx,hmd_qy,hmd_qz,hmd_qw,left_x,left_y,left_z,left_qx,left_qy,left_qz,left_qw,right_x,right_y,right_z,right_qx,right_qy,right_qz,right_qw
1770065059.876197,0.000000,19.334114,-0.006719456,0.000994238,-0.008335714,-0.001079841,-0.568437757,-0.042698600,0.821616808,-0.007668834,0.024803781,-0.001077641,0.999833735,0.009992435,-0.011561086,-0.009949619,-0.001437046,-0.055855889,-0.008381683,0.999058292,-0.006258196,-0.016186414,0.039766382
1770065059.905539,0.029342,34.080914,-0.007895206,-0.000368014,-0.002467182,0.000532720,-0.924832911,-0.085396615,0.370663218,-0.007612252,0.033728082,-0.002155282,0.999787076,0.011316625,-0.014156743,-0.009865244,-0.000942316,-0.074966382,0.007513606,0.998699975,-0.043476430,0.023392760,-0.012686155
1770065059.958435,0.082238,18.905013,-0.009057347,-0.000202624,0.000032731,-0.000800108,0.299295022,-0.124316560,0.946027083,-0.007228936,0.053795177,-0.003232979,0.999811016,0.014112138,-0.008131194,-0.010614329,-0.000267554,-0.088227017,0.003275230,0.998014379,0.043822183,-0.026933079,0.036352795
1770065060.004525,0.128328,21.696733,-0.010649508,0.000333786,0.002100835,0.001223814,-0.368846706,-0.163638699,0.914971577,-0.006671296,0.062273623,-0.004310677,0.999818337,0.015436328,-0.005245742,-0.009873991,0.000000762,-0.029484100,0.006100814,0.998861895,0.011486725,-0.030340556,0.034963127
1770065060.055911,0.179714,19.460509,-0.014239354,0.000922618,0.001936760,0.000351716,-0.737662893,-0.202903540,0.643959227,-0.005968768,0.030912720,-0.005388374,0.999860527,0.012052286,-0.002415749,-0.011306306,-0.000011809,-0.051860164,-0.001670921,0.999443929,-0.005244815,-0.010944140,-0.031057216
1770065060.107856,0.231659,19.251142,-0.018207509,0.002181502,-0.002020747,-0.000619113,-0.809778130,-0.242077981,0.534469127,-0.005422902,-0.001429783,-0.006466072,0.999856591,0.008668244,-0.006668940,-0.012930009,-0.000189819,-0.063350031,0.004334824,0.998852470,0.039131600,-0.013041050,0.024339093
1770065060.162977,0.286780,18.141924,-0.024766667,0.003923264,-0.006502910,0.000417526,-0.800042726,-0.281132031,0.529996456,-0.004855777,-0.013924525,-0.007543770,0.999744002,0.007491186,-0.016432141,-0.013630733,-0.000552197,-0.085783587,0.040712838,0.998941515,0.017704100,-0.022214007,-0.036179452
1770065060.210689,0.334492,20.959049,-0.032019844,0.005234755,-0.011324671,-0.000668486,-0.716116825,-0.319821490,0.620395407,-0.004556516,-0.005913508,-0.008621467,0.999539001,0.008226847,0.025327239,-0.014582008,-0.000682670,0.076914314,-0.032047329,0.999785921,-0.000660408,0.011337577,0.017295554
1770065060.261828,0.385631,19.554594,-0.040092235,-0.005182781,-0.015099660,-0.000355852,-0.582720420,-0.358389879,0.729378832,-0.004082604,0.012273083,-0.009699108,0.999632161,0.010728096,0.018557284,0.016615619,-0.001022652,0.045879886,-0.042644648,0.999200902,-0.039135289,0.006620552,0.004706945
1770065060.309562,0.433365,20.949418,-0.047829864,-0.002255600,-0.017001781,0.000878240,-0.752311777,-0.397875517,0.525091699,-0.003728723,0.035407232,-0.010776749,0.999682134,0.012787948,0.016800549,0.013778255,-0.001357288,0.022034890,-0.034875672,0.998719661,-0.041714438,-0.009368385,-0.027040285
