replay_id,channel,rank,windows_used,responsive_threshold,flow_ip_src,flow_ip_dst,flow_udp_sport,flow_udp_dport,frame_len,offset,width,encoding,delta_view,score,sine_cycles,responsiveness,affine_scale,affine_offset
16_x,x,1,3,10853.707595060265,192.168.1.6,192.168.1.14,52428,60376,152,38,2,int16_le,False,0.12633090565531088,2.0,5439.3446597627035,-2.7216423742526637e-06,0.00393033018173475
16_x,x,2,3,10853.707595060265,192.168.1.6,192.168.1.14,52428,60376,152,38,2,uint16_le,False,0.11750529310977938,1.0,5439.3446597627035,-3.1045965014663087e-07,0.010413208285098735
16_x,x,3,3,10853.707595060265,192.168.1.6,192.168.1.14,52428,60376,152,38,4,uint32_be,False,0.10615343868028097,1.0,2719.6723298813517,-2.7342033770495105e-11,0.05942237887474112
16_x,x,4,3,10853.707595060265,192.168.1.6,192.168.1.14,52428,60376,152,38,2,uint16_be,False,0.10615343371310747,1.0,5439.3446597627035,-1.7918874347899612e-06,0.059422164763228175
16_x,x,5,3,10853.707595060265,192.168.1.6,192.168.1.14,52428,60376,152,38,4,int32_be,False,0.10261544296134596,2.0,2719.6723298813517,2.3884488226336118e-11,-0.00037423294483128684
16_x,x,6,3,10853.707595060265,192.168.1.6,192.168.1.14,52428,60376,152,38,2,int16_be,False,0.10261541636684797,2.0,5439.3446597627035,1.5652939619015123e-06,-0.00037404856120763986
16_x,x,7,3,10853.707595060265,192.168.1.6,192.168.1.14,52428,60376,152,38,2,int16_be,True,0.09149273605174872,3.0,5439.3446597627035,1.1943822086874775e-08,-0.00042104432144908336
16_x,x,8,3,10853.707595060265,192.168.1.6,192.168.1.14,52428,60376,152,38,4,int32_be,True,0.091492733321762,3.0,2719.6723298813517,1.8224791765716543e-13,-0.0004210443178242367
16_x,x,9,3,10853.707595060265,192.168.1.6,192.168.1.14,52428,60376,152,38,4,uint32_be,True,0.08902600991575221,3.0,2719.6723298813517,-2.643695492416079e-13,-0.0004224909934507711
16_x,x,10,3,10853.707595060265,192.168.1.6,192.168.1.14,52428,60376,152,38,2,uint16_be,True,0.08902600399538206,3.0,5439.3446597627035,-1.732570115387669e-08,-0.0004224909876827766
16_x,x,11,3,10853.707595060265,192.168.1.6,192.168.1.14,52428,60376,152,38,2,int16_le,True,0.08816406134757537,2.0,5439.3446597627035,-7.041400610218447e-10,-0.00028028876311213
16_x,x,12,3,10853.707595060265,192.168.1.6,192.168.1.14,52428,60376,152,38,2,uint16_le,True,0.08776189989082804,2.0,5439.3446597627035,9.955820921042346e-09,-0.00028080319436305445
16_x,x,13,3,10853.707595060265,192.168.1.6,192.168.1.14,52428,60376,152,38,4,float32_le,True,0.04559034123393574,3.0,2719.6723298813517,0.03162466831152904,-0.00044082193950282193
16_x,x,14,3,10853.707595060265,192.168.1.6,192.168.1.14,52428,60376,152,38,4,int32_le,True,0.04559034123393574,3.0,2719.6723298813517,-7.539908483392965e-09,-0.0004408219395028263
16_x,x,15,3,10853.707595060265,192.168.1.6,192.168.1.14,52428,60376,152,38,4,uint32_le,True,0.04559034123393574,3.0,2719.6723298813517,-7.539908483392965e-09,-0.0004408219395028263
16_x,x,16,3,10853.707595060265,192.168.1.6,192.168.1.14,52428,60376,152,38,4,float32_le,False,0.012951354947406499,2.0,2719.6723298813517,-0.0014743576777955473,-0.003638042595006322
16_x,x,17,3,10853.707595060265,192.168.1.6,192.168.1.14,52428,60376,152,38,4,uint32_le,False,0.012951354947406499,2.0,2719.6723298813517,3.515142625972844e-10,-1.1329960236890253
16_x,x,18,3,10853.707595060265,192.168.1.6,192.168.1.14,52428,60376,152,38,4,int32_le,False,0.012951354947406485,2.0,2719.6723298813517,3.515142626344874e-10,0.37674623828374054
16_y,y,1,3,10356.479634438758,192.168.1.6,192.168.1.14,52428,60376,152,42,2,int16_le,False,0.11633885327827277,2.0,5412.9480514340175,1.8458698841565709e-07,0.0002880082314529446
16_y,y,2,3,10356.479634438758,192.168.1.6,192.168.1.14,52428,60376,152,42,2,uint16_le,False,0.10919894730685387,2.0,5412.9480514340175,-8.078808193764708e-07,0.02719019740558701
16_y,y,3,3,10356.479634438758,192.168.1.6,192.168.1.14,52428,60376,152,42,2,int16_be,False,0.09543287299003757,2.0,5412.9480514340175,-1.9349022708082844e-06,-0.0018972408900427761
16_y,y,4,3,10356.479634438758,192.168.1.6,192.168.1.14,52428,60376,152,42,4,int32_be,False,0.09543286013705445,2.0,2706.4740257170088,-2.9524257798185425e-11,-0.0018969837545839059
